Hemera v.2.50.1.20 - Relatório gerado em: 07/02/2024 21:03,,,,,Data da última sumarização: 07/02/2024 19:21:15,,,,,
CAS Hemera - Relatório de disponibilidade,,,,,,,,,,
Filtros:,"Data = 28/01/2024 00:00:00 até 28/01/2024 23:59:59
Medidores = nenhum valor selecionado
Controladores = SDO, SDL, SDT, SDN, SDC
Grupos de Cliente = SDL, SDO, SDC, PGO, IRT, UVI, TEL, SDN, SDT",,,,,,,,,
Cliente,,Ponto de medição,Medidor,Telemetria (MIN),,Ip,Porta,Endereço,Telemetria (SSN),Disponibilidade
SDC-IRT-102526257-,,102526257-COOPERATIVA ,35600910,41997838020,,,,Sem endereço,89550447000006313091,"100,00%"
SDC-IRT-102885770-MUNICIPIO ,,102885770-MUNICIPIO DE ,30600672,,,,,Sem endereço,,"0,00%"
SDC-IRT-102885770-MUNICIPIO ,,102885770-MUNICIPIO DE ,31603388,,,,,Sem endereço,,"0,00%"
SDC-IRT-102885770-MUNICIPIO ,,102885770-MUNICIPIO DE ,31603691,,,,,Sem endereço,,"0,00%"
SDC-IRT-102885770-MUNICIPIO ,,102885770-MUNICIPIO DE ,31607281,,,,,Sem endereço,,"0,00%"
SDC-IRT-102885770-MUNICIPIO ,,102885770-MUNICIPIO DE ,31607289,,,,,Sem endereço,,"0,00%"
SDC-IRT-102885770-MUNICIPIO ,,102885770-MUNICIPIO DE ,31607318,,,,,Sem endereço,,"0,00%"
SDC-IRT-102885770-MUNICIPIO ,,102885770-MUNICIPIO DE ,31607328,,,,,Sem endereço,,"0,00%"
SDC-IRT-102885770-MUNICIPIO ,,102885770-MUNICIPIO DE ,40622002,,,,,Sem endereço,,"0,00%"
SDC-IRT-102885770-MUNICIPIO ,,102885770-MUNICIPIO DE ,40625153,,,,,Sem endereço,,"0,00%"
SDC-IRT-102885770-MUNICIPIO ,,102885770-MUNICIPIO DE ,40625370,41997837021,,,,Sem endereço,89550447000006249451,"100,00%"
SDC-IRT-102885770-MUNICIPIO ,,102885770-MUNICIPIO DE ,40682606,,,,,Sem endereço,,"0,00%"
SDC-IRT-102889104-MANOEL ,,102889104-MANOEL ,31607245,41999110392,,,,Sem endereço,89550442000103177519,"100,00%"
SDC-IRT-103117849-JOSEF ,,103117849-JOSEF WINKLER,31600642,,,,,Sem endereço,,"100,00%"
SDC-IRT-103117849-JOSEF ,,103117849-JOSEF WINKLER,35602698,,,,,Sem endereço,,"0,00%"
SDC-IRT-103322493-DAL CASTEL ,,103322493-DAL CASTEL CLI ,40620808,41997834607,,,,Sem endereço,89550447000006314578,"50,00%"
SDC-IRT-103684760-FRIGORIFICO ,,103684760-FRIGORIFICO ,31603399,,,,,Sem endereço,,"0,00%"
SDC-IRT-103684760-FRIGORIFICO ,,103684760-FRIGORIFICO ,38680834,,,,,Sem endereço,,"0,00%"
SDC-IRT-103732578-,,103732578-HIDRELETRICA ,01518142,,,,,Sem endereço,,"0,00%"
SDC-IRT-103802762-MUNICIPIO ,,103802762-MUNICIPIO DE ,40622045,41998801747,,,,Sem endereço,89550447000006289333,"100,00%"
SDC-IRT-104041129-REGINALDO ,,104041129-REGINALDO ,31607357,41995860726,,,,Sem endereço,89550447000005994511,"100,00%"
SDC-IRT-104091134-S A ,,104091134-S A MOAGEIRA E ,35601038,41997831070,,,,Sem endereço,89550447000006220734,"100,00%"
