UC,LATITUDE,LONGITUDE
68503954,-25.52507,-54.56408
90542002,-25.52403,-54.56369
54381878,-25.5558,-54.56357
101247052,-25.52565,-54.56341
68502435,-25.52146,-54.56302
77385390,-25.52338,-54.56295
55368506,-25.45044,-54.56268
51103257,-25.52294,-54.56243
76921840,-25.56131,-54.56238
21266832,-25.55868,-54.56206
92893309,-25.56171,-54.56178
68584440,-25.54019,-54.56174
74983687,-25.57638,-54.56146
60901900,-25.48839,-54.56121
97627097,-25.51872,-54.56066
97627550,-25.51872,-54.56066
33310203,-25.56122,-54.56041
102229848,-25.51855,-54.55945
9588876,-25.56259,-54.55932
62846752,-25.54807,-54.55886
80201555,-25.53548,-54.55878
9590030,-25.57806,-54.55847
102651221,-25.56822,-54.55831
102491291,-25.56821,-54.55817
104917687,-25.50765,-54.55808
93302150,-25.53624,-54.55803
101818386,-25.56822,-54.55802
101746482,-25.56822,-54.55791
44774494,-25.49468,-54.55784
101427581,-25.56822,-54.5578
72340363,-25.53586,-54.55767
101120907,-25.56823,-54.55766
100627412,-25.56823,-54.55757
90994612,-25.50905,-54.55755
100725929,-25.56822,-54.55745
100720978,-25.56822,-54.55735
100062733,-25.5682,-54.55726
100758495,-25.56818,-54.55717
9589031,-25.51836,-54.55709
95397701,-25.56817,-54.55709
81735766,-25.51764,-54.55639
31253210,-25.51718,-54.55585
34161562,-25.5664,-54.55559
105273716,-25.5655,-54.55552
69822247,-25.46858,-54.55543
35119624,-25.45085,-54.55531
43992153,-25.51842,-54.55514
77806093,-25.51661,-54.55511
48461270,-25.56983,-54.55467
99508095,-25.49416,-54.55311
103967460,-25.5115,-54.5528
76960269,-25.53506,-54.55211
49996517,-25.54894,-54.55207
83338225,-25.49466,-54.5514
36033111,-25.44592,-54.55134
87519852,-25.58532,-54.55066
19452292,-25.57756,-54.54976
70650276,-25.54181,-54.54941
86589792,-25.50933,-54.54884
65368932,-25.53607,-54.54737
87287692,-25.51097,-54.54501
71551930,-25.49323,-54.54477
82139750,-25.48848,-54.5443
90085256,-25.49356,-54.5435
58012648,-25.53633,-54.54275
83361685,-25.57701,-54.54184
95795227,-25.52787,-54.54171
47053739,-25.50341,-54.54133
27296440,-25.53406,-54.54125
66830184,-25.54918,-54.54085
91350085,-25.57637,-54.54042
91972175,-25.50421,-54.54001
19535708,-25.50162,-54.53797
76032680,-25.51967,-54.53782
72731249,-25.52465,-54.53772
19452330,-25.46609,-54.53648
57537429,-25.57888,-54.53645
25300440,-25.4996,-54.53571
78021774,-25.61637,-54.53482
80075002,-25.57976,-54.53431
64669360,-25.47942,-54.5342
62851330,-25.53265,-54.53418
84776404,-25.52795,-54.53212
96389656,-25.52111,-54.53168
66842298,-25.58173,-54.53024
35593563,-25.49476,-54.53021
98483013,-25.49751,-54.52989
98683292,-25.52715,-54.52973
98132334,-25.52715,-54.52973
84166800,-25.52677,-54.52925
38193400,-25.48978,-54.52908
97938793,-25.52842,-54.52906
95743162,-25.52155,-54.52826
32346875,-25.47984,-54.52782
34983309,-25.58241,-54.52698
92273530,-25.55088,-54.52685
103259058,-25.51471,-54.52611
19452306,-25.5819,-54.52598
102251665,-25.50373,-54.52551
42584418,-25.50102,-54.5248
81129777,-25.49634,-54.52305
69601020,-25.51657,-54.52152
66851106,-25.55375,-54.52027
95161236,-25.55367,-54.51978
82743339,-25.56919,-54.51867
63693100,-25.5891,-54.51814
95884807,-25.59213,-54.51813
89997808,-25.48388,-54.5181
81955626,-25.55015,-54.51805
103871225,-25.47271,-54.51743
78112974,-25.58984,-54.51735
74619365,-25.50336,-54.51687
80858104,-25.58261,-54.51679
80859275,-25.58261,-54.51679
68123531,-25.50079,-54.51633
68100566,-25591,-54.51585
90800389,-25.49246,-54.51324
102949107,-25.49107,-54.51309
100319467,-25.49419,-54.51245
104199270,-25.49419,-54.51245
49379216,-25.49042,-54.51211
56345291,-25.48152,-54.50849
42845750,-25.48794,-54.50784
70617449,-25.48798,-54.50742
11365242,-25.48998,-54.50729
64135160,-25.48465,-54.50587
103844554,-25.49059,-54.50581
63232758,-25.48447,-54.5055
43227821,-25.48343,-54.50348
93551150,-25.49482,-54.50279
92701450,-25.47981,-54.50021
68376391,-25.48306,-54.49981
103485546,-25.4794,-54.49642
23552077,-25.60312,-54.49614
19452314,-25.59733,-54.48993
9588930,-25.60701,-54.48948
77844513,-25.6011,-54.48502
45292361,-25.61318,-54.48387
70615080,-25.6136,-54.48284
43227350,-25.4254,-54.47683
53651731,-25.61315,-54.4753
93846266,-25.50653,-54.47298
97387258,-25.42892,-54.47292
50940694,-25.45135,-54.44653
98998633,-25.6517,-54.43814
72792906,-25.68342,-54.43732
52107477,-25.69055,-54.43622
53644085,-25.69148,-54.43503
82744181,-25.45656,-54.43426
96275855,-25.44241,-54.43101
58710370,-25.44846,-54.42424
98285084,-25.45435,-54.4242
