estacao,operadora,municipio,latitude_antena,longitude_antena,tecs
1003761590,Tim,Sao Pedro Do Parana,-22.82194,-53.22194,3G 4G
1003761841,Tim,Pitangueiras,-23.232778,-51.585833,3G 4G
1003762120,Tim,Londrina,-23.28417,-51.12472,3G 4G
1003762414,Tim,Curitiba,-25.448583,-49.269417,3G 4G 5G
1003762481,Tim,Londrina,-23.27639,-51.14528,3G 4G
1003762503,Tim,Araucaria,-25.54294,-49.38822,3G 4G
1003762597,Tim,Londrina,-23.353472,-51.138222,2G 3G 4G
1003764492,Tim,Toledo,-24.7165,-53.721972,3G 4G
1003764964,Tim,Maringa,-23.33825,-51.903111,2G  4G
1003765154,Tim,Apucarana,-23.56528,-51.51972,3G
1003773734,Vivo,Foz Do Iguacu,-25.4875,-54.52917,3G 4G
1003803013,Tim,Araucaria,-25.61094,-49.36975,3G 4G
1003813060,Tim,Londrina,-23.36861,-51.13417,3G 4G
1003821852,Tim,Londrina,-23.277061,-51.189419,3G 4G 5G
1003839131,Vivo,Campo Largo,-25.468222,-49.545694,3G 4G
1003839263,Vivo,Guarapuava,-25.34111,-51.49194,3G 4G
1003849579,Claro,Curitiba,-25.46869,-49.32538,3G 4G 5G
1003856214,Claro,Curitiba,-25.4798,-49.31095,3G 4G
1003857644,Claro,Curitiba,-25.46047,-49.27902,3G 4G
1003857946,Claro,Curitiba,-25.44625,-49.28869,3G 4G 5G
1003861480,Claro,Curitiba,-25.39704,-49.24334,3G 4G 5G
1003871035,Vivo,Almirante Tamandare,-25.315,-49.30028,4G
1003871337,Vivo,Almirante Tamandare,-25.32806,-49.27889,4G
1003871426,Vivo,Almirante Tamandare,-25.34306,-49.27556,4G
1003871515,Vivo,Almirante Tamandare,-25.31167,-49.28389,4G
1003871620,Vivo,Apucarana,-23.56444,-51.46667,4G
1003872104,Vivo,Apucarana,-23.51833,-51.42972,4G
1003872198,Vivo,Apucarana,-23.55111,-51.45167,4G
1003872562,Vivo,Apucarana,-23.52528,-51.4475,4G
1003873178,Vivo,Apucarana,-23.56444,-51.49222,4G
1003873240,Vivo,Arapongas,-23.41083,-51.43778,4G
1003873364,Vivo,Arapongas,-23.36333,-51.4025,4G
1003873593,Vivo,Arapongas,-23.41444,-51.43,4G
1003874115,Vivo,Arapongas,-23.40722,-51.44778,4G
1003874182,Vivo,Araucaria,-25.59333,-49.40528,4G
1003874280,Vivo,Guarapuava,-25.37917,-51.4825,4G
1003874425,Vivo,Guarapuava,-25.42194,-51.46722,4G
1003874484,Vivo,Guarapuava,-25.42778,-51.49,4G
1003874557,Vivo,Guarapuava,-25.39972,-51.45889,4G
1003874638,Vivo,Paranagua,-25.51583,-48.51194,4G
1003874735,Vivo,Paranagua,-25.53833,-48.53361,4G
1003874786,Vivo,Paranagua,-25.55944,-48.55806,4G
1003874816,Vivo,Paranagua,-25.51806,-48.53389,4G
1003874824,Vivo,Paranagua,-25.51444,-48.50222,4G
1003874891,Vivo,Paranagua,-25.51028,-48.52389,4G
1003874972,Vivo,Toledo,-24.73306,-53.74972,4G
1003875081,Vivo,Toledo,-24.72917,-53.75917,4G
1003875146,Vivo,Toledo,-24.70944,-53.76778,4G
1003875260,Vivo,Toledo,-24.71639,-53.73472,4G
1003875286,Vivo,Toledo,-24.76056,-53.73028,4G
1003875316,Vivo,Toledo,-24.74306,-53.7225,4G
1003875545,Vivo,Umuarama,-23.76361,-53.305,4G
1003876312,Vivo,Umuarama,-23.77389,-53.31861,4G
1003876398,Vivo,Umuarama,-23.77389,-53.29667,4G
1003876487,Vivo,Umuarama,-23.76417,-53.31056,4G
1003876550,Vivo,Umuarama,-23.75361,-53.29917,4G
1003876592,Vivo,Umuarama,-23.7825,-53.33861,4G
1003876738,Vivo,Umuarama,-23.76889,-53.33139,4G
1003877114,Vivo,Paranagua,-25.52667,-48.52222,4G
1003877866,Tim,Apucarana,-23.570806,-51.457944,3G
1003877920,Tim,Castro,-24.806528,-49.986111,3G 4G
1003878331,Tim,Curitiba,-25.508722,-49.305833,3G 4G 5G
1003878528,Tim,Curitiba,-25.500917,-49.278417,3G 4G 5G
1003880417,Tim,Maringa,-23.407909,-51.877851,3G 4G
1003880620,Tim,Maringa,-23.39583,-51.97306,3G 4G
1003881138,Tim,Ponta Grossa,-25.119917,-50.134111,3G 4G
1003881189,Tim,Ponta Grossa,-25.089361,-50.154694,3G 4G 5G
1003881260,Tim,Paranagua,-25.519917,-48.510306,2G 3G 4G
1003884307,Tim,Sao Jose Dos Pinhais,-25.522194,-49.198528,3G 4G 5G
1003884510,Tim,Sarandi,-23.451722,-51.878167,3G 4G
1003884609,Tim,Londrina,-23.31944,-51.15139,3G 4G
1003884986,Tim,Matinhos,-25.806111,-48.531111,2G 3G 4G
1003885354,Tim,Matinhos,-25.74583,-48.50056,3G 4G
1003885559,Tim,Matinhos,-25.768722,-48.513583,3G 4G
1003890609,Claro,Curitiba,-25.55444,-49.30372,2G 3G 4G
1003891737,Claro,Curitiba,-25.44465,-49.33945,3G 4G
1003909512,Tim,Curitiba,-25.546153,-49.272056,3G 4G 5G
1003911428,Claro,Curitiba,-25.43417,-49.21694,3G 4G
1003912505,Claro,Curitiba,-25.3786,-49.27897,3G 4G
1003912874,Claro,Curitiba,-25.59276,-49.27568,3G 4G
1003932786,Claro,Curitiba,-25.42744,-49.26883,3G 4G 5G
1003933200,Claro,Curitiba,-25.39185,-49.28262,3G 4G
1003933219,Claro,Curitiba,-25.43241,-49.26241,3G 4G 5G
1003934827,Claro,Curitiba,-25.44469,-49.22788,3G 4G
1003938164,Claro,Goioxim,-25.18472,-52.00583,3G
1003946159,Claro,Guaraci,-22.963969,-51.649478,3G
1003949050,Vivo,Sao Jose Dos Pinhais,-25.563556,-49.162194,3G 4G
1003952850,Claro,Curitiba,-25.42362,-49.22859,3G 4G
1003957754,Claro,Curitiba,-25.42678,-49.24952,3G 4G 5G
1003959404,Claro,Curitiba,-25.46224,-49.2154,3G 4G
1003960496,Claro,Curitiba,-25.43614,-49.33539,3G 4G 5G
1003960968,Tim,Curitiba,-25.42361,-49.35806,3G 4G 5G
1003961158,Tim,Londrina,-23.312139,-51.198972,4G 5G
1003993947,Claro,Curitiba,-25.4522,-49.2515,3G 4G 5G
1003994633,Claro,Curitiba,-25.44444,-49.33088,3G 4G 5G
1003994803,Claro,Curitiba,-25.43134,-49.3375,3G 4G 5G
1004007296,Claro,Curitiba,-25.38128,-49.23183,3G 4G
